Tandemlength,Percentage_Tandems_Dataset
1,100
2,25
3,8.333333333333332
4,1.7045454545454544
5,0.3472222222222222
6,0.11104060913705585
7,0.03201135105204873
8,0.006116353119887824
9,9.017457798297504e-4
10,1.0613882715989481e-4
11,1.317494251810222e-5
12,1.7433852399741114e-6
13,1.55619006783639e-7
14,1.6410216407385802e-8
15,1.907893574914835e-9
16,1.6508124556726837e-10
17,1.2249521511754286e-11
18,9.620493825683179e-13
19,7.62534224739554e-14
20,4.949982434591047e-15
21,3.1573898227016455e-16
22,1.3029754114154275e-17
23,5.058725156507702e-19
